Non-Counted Role Played,Count #
Andy Samberg,Cathy,34
Justin Timberlake,Irving,34
Jessica Biel,Jessica Rabbit,34
Will Forte,Jon Bovi member,34
Jason Sudeikis,Jon Bovi member,34
Dwayne Johnson,Dave Delmonte,34
Fred Armisen,"Chuck, caller",34
Bill Hader,Greg,34
Darrell Hammond,"Tom, caller",34
Seth Meyers,"Joey, caller",34
Andy Samberg,"Pat, caller",34
Kenan Thompson,Randy Dukes,34
Dwayne Johnson,Dennis Rodman,34
Fred Armisen,Tom Green,34
Bill Hader,director,34
Darrell Hammond,Donald Trump,34
Michaela Watkins,Joan Rivers,34
Jason Sudeikis,jetskier,34
Dan Aykroyd,John Boehner,34
Will Forte,Dave,34
Darrell Hammond,Mitch McConnell,34
Andy Samberg,Eric,34
Jason Sudeikis,Tom,34
Kristen Wiig,panelist,34
Fred Armisen,audience member,34
Bobby Moynihan,audience member,34
Jason Sudeikis,audience member,34
Kristen Wiig,audience member,34
Alec Baldwin,Gary Jonas,34
Alec Baldwin,Blaine Bagby,34
Cameron Diaz,Kiki Deamore,34
Will Forte,Brandon,34
Bill Hader,Brendan,34
Andy Samberg,Braden,34
Kenan Thompson,Kenneth,34
Michaela Watkins,Barbara Lanka,34
Kristen Wiig,Jacqueline Seka,34
Casey Wilson,Toni Ward,34
Will Forte,band member,34
Bill Hader,wizard,34
Bobby Moynihan,band member,34
Kenan Thompson,band member,34
Abby Elliott,Becky,34
Kenan Thompson,Sir Mix-A-Lot,34
Kenan Thompson,Oscar Rogers,34
Abby Elliott,Angelina Jolie,34
Michaela Watkins,Angie Tempura,34
Jason Sudeikis,Joaquin Phoenix,34
Alec Baldwin,Richard Burton,34
Fred Armisen,Liberace,34
Bill Hader,Vincent Price,34
Kristen Wiig,Carol Channing,34
Casey Wilson,Elizabeth Taylor,34
Alec Baldwin,Troy,34
Will Forte,Carl,34
Bill Hader,Jerry,34
Kristen Wiig,Virgania Horsen,34
Fred Armisen,actor,34
Will Forte,actor,34
Bill Hader,actor,34
Andy Samberg,actor,34
Jason Sudeikis,actor,34
Kenan Thompson,actor,34
Kristen Wiig,actress,34
Fred Armisen,Harry Reid,34
Kristen Wiig,Nancy Pelosi,34
Bradley Cooper,Miss Bee,34
Michaela Watkins,Hoda Kotb,34
Kristen Wiig,Kathie Lee Gifford,34
Bradley Cooper,Danny Lane,34
Fred Armisen,Michael Vodner,34
Will Forte,Ron Stillwell,34
Bill Hader,Tommy McCafferty,34
Michaela Watkins,Catherine Stillwell,34
Kristen Wiig,Jennifer McCafferty,34
Casey Wilson,Michael's wife,34
Andy Samberg,Mark Spitz,34
Kenan Thompson,James Harrison,34
Kristen Wiig,Bjork,34
Bradley Cooper,Matt,34
Will Forte,Pierre LaRue,34
Darrell Hammond,Burt,34
Steve Higgins,stadium announcer,34
Bobby Moynihan,Keith,34
Jason Sudeikis,Tim Potenzone,34
Michaela Watkins,staff member,34
Bradley Cooper,Johnny Lawrence,34
Bill Hader,Jame Gumb,34
Andy Samberg,Hans Gruber,34
Jason Sudeikis,John Kreese,34
Michaela Watkins,Alex Forrest,34
Bradley Cooper,Bill,34
Bill Hader,Matt Sajak,34
Andy Samberg,Mark,34
Kristen Wiig,Dina,34
Bradley Cooper,Christian Bale,34
Abby Elliott,Joan Cusack,34
Will Forte,stagehand,34
Darrell Hammond,Jim Cramer,34
Bobby Moynihan,Nathan Lane,34
Kenan Thompson,George Foreman,34
Fred Armisen,Barack Obama,34
Jason Sudeikis,Joe Biden,34
Steve Martin,Glenn,34
Abby Elliott,waitress,34
Will Forte,Neil,34
Kristen Wiig,Jean,34
Liz Cackowski,villain,34
Will Forte,scientist,34
Bill Hader,Nitro,34
Andy Samberg,Admiral Spaceship,34
Kenan Thompson,Cyber Face,34
Steve Martin,Connor French,34
Kenan Thompson,Clarence Jurnegan,34
Casey Wilson,Sarah Stokes,34
Fred Armisen,Bernard Madoff,34
Jason Sudeikis,Rod Blagojevich,34
Abby Elliott,Angelina Jolie,34
Fred Armisen,David Paterson,34
Steve Martin,Thomas,34
Kristen Wiig,Trina,34
Steve Martin,"Billy ""The Gun"" Van Goff",34
Will Forte,Jack Snad,34
Bill Hader,Jack Vernon,34
Darrell Hammond,Lew Massey,34
Bobby Moynihan,"Ray ""The Monster"" Krupp",34
Andy Samberg,Gabe Silverberg,34
Jason Sudeikis,"""Crazy"" Pete Damashek",34
Darrell Hammond,Dick Cheney,34
Kristen Wiig,Diane Sawyer,34
Fred Armisen,Fericito,34
Fred Armisen,applicant,34
Abby Elliott,applicant,34
Will Forte,applicant,34
Bobby Moynihan,applicant,34
Andy Samberg,applicant,34
Jason Sudeikis,applicant,34
Kenan Thompson,applicant,34
Kristen Wiig,applicant,34
Casey Wilson,applicant,34
Rosario Dawson,Carla Da Funkee Conduktah,34
Fred Armisen,mailman,34
Abby Elliott,Dominique,34
Will Forte,K,34
Bill Hader,deejay,34
Bobby Moynihan,Hector,34
Andy Samberg,Jesse,34
Jason Sudeikis,Harry Connick Jr.,34
Kenan Thompson,Riznatch,34
Rosario Dawson,Cuban lady,34
Jason Sudeikis,David,34
Rosario Dawson,Jasmine,34
Jason Sudeikis,Aladdin,34
Rosario Dawson,Cindy,34
Will Forte,Mr. Dillon,34
Bobby Moynihan,Liam,34
Kenan Thompson,Sam Jeffers,34
Kristen Wiig,Gilly,34
Fred Armisen,Bernard Madoff,34
Kristen Wiig,Judy Grimes,34
Andy Samberg,Larry The Goose,34
Rosario Dawson,"Isabella Lopez, Carmen",34
Fred Armisen,"Carloz Ruiz, Rafael",34
Bill Hader,"Roberto Gonzalez, El Jefe",34
Bobby Moynihan,Miguel,34
Rosario Dawson,Salma Hayek,34
Fred Armisen,Joy Behar,34
Jason Sudeikis,Ricky Gervais,34
Kenan Thompson,Whoopi Goldberg,34
Michaela Watkins,Barbara Walters,34
Kristen Wiig,Elisabeth Hasselbeck,34
Rosario Dawson,Perpetua McGirk,34
Will Forte,host,34
Jason Sudeikis,caller,34
Kenan Thompson,Robert Cyclone,34
Kristen Wiig,host,34
Abby Elliott,Rachel Maddow,34
Jason Sudeikis,Rod Blagojevich,34
Kenan Thompson,Roland Burris,34
Fred Armisen,audience member,34
Bill Hader,audience member,34
Bobby Moynihan,Turtle,34
Andy Samberg,Mark Wahlberg,34
Neil Patrick Harris,Ian Price,34
Michaela Watkins,Hoda Kotb,34
Kristen Wiig,Kathie Lee Gifford,34
Neil Patrick Harris,Mark,34
Taylor Swift,Annie,34
Fred Armisen,Blue Man,34
Abby Elliott,puppeteer,34
Bill Hader,The Music Man,34
Darrell Hammond,Stomp guy,34
Bobby Moynihan,Mr. Mistoffelees,34
Andy Samberg,Blue Man,34
John Solomon,Blue Man,34
Jason Sudeikis,The Phantom,34
Kenan Thompson,writer,34
Michaela Watkins,Elphaba,34
Kristen Wiig,Chicago lady,34
Casey Wilson,Chicago lady,34
Neil Patrick Harris,Dr. Hammill,34
Will Forte,Bob,34
Bill Hader,video instructor,34
Kenan Thompson,Lou,34
Kristen Wiig,Penelope,34
Casey Wilson,Sam,34
Fred Armisen,keyboard player,34
Abby Elliott,violinist,34
Will Forte,drummer,34
Bill Hader,saxophonist,34
Darrell Hammond,trumpeter,34
Bobby Moynihan,tuba player,34
Andy Samberg,drum pad player,34
Jason Sudeikis,bassist,34
Kenan Thompson,harpist,34
Michaela Watkins,violinist,34
Kristen Wiig,guitarist,34
Casey Wilson,violinist,34
Kenan Thompson,Charles Barkley,34
Fred Armisen,David Lee Roth,34
Abby Elliott,Jamie Lynn Spears,34
Will Forte,Joe Pantoliano,34
Bill Hader,Daniel Day-Lewis,34
Darrell Hammond,Tommy Lee Jones,34
Andy Samberg,Billy Bob Thornton,34
Jason Sudeikis,Philip Seymour Hoffman,34
Kenan Thompson,Michael Clarke Duncan,34
Michaela Watkins,Julia Louis-Dreyfus,34
Kristen Wiig,Jamie Lee Curtis,34
Neil Patrick Harris,Fran,34
Will Forte,Gil,34
Kristen Wiig,Freba,34
Neil Patrick Harris,David Frost,34
Fred Armisen,Paul Lynde,34
Bill Hader,David Bowie,34
Darrell Hammond,Richard Nixon,34
Bobby Moynihan,David Crosby,34
Jason Sudeikis,attorney,34
Kenan Thompson,Fred Berry,34
Neil Patrick Harris,interviewer,34
Fred Armisen,farmer,34
Bobby Moynihan,farmer,34
Michaela Watkins,farmer,34
Kristen Wiig,translator,34
Will Forte,Evan Bayh,34
Bill Hader,Robert Byrd,34
Darrell Hammond,Christopher Dodd,34
Bobby Moynihan,Richard Shelby,34
Jason Sudeikis,Rod Blagojevich,34
Kristen Wiig,Patti Blagojevich,34
Casey Wilson,Elizabeth Dole,34
Hugh Laurie,Jeffrey Billings,34
Maya Rudolph,Jodi Deitz,34
Amy Poehler,Betty Caruso,34
Will Forte,Terry,34
Jason Sudeikis,Phil,34
Kristen Wiig,Judith,34
Casey Wilson,Nancy,34
Hugh Laurie,Bob Kemp,34
Fred Armisen,rock and roll shorts guy,34
Abby Elliott,Tina Culhane,34
Will Forte,Hamilton,34
Bobby Moynihan,microphone guy,34
Andy Samberg,David Culhane,34
Jason Sudeikis,emcee,34
Michaela Watkins,Aunt Joanie,34
Kristen Wiig,Gail,34
Fred Armisen,David Paterson,34
Hugh Laurie,lamp,34
Fred Armisen,Harold,34
Will Forte,grandfather clock,34
Andy Samberg,lamp,34
Michaela Watkins,Janey,34
Kristen Wiig,Sharon,34
Hugh Laurie,Ed Sorenson,34
Kristen Wiig,Caroline Sorenson,34
Hugh Laurie,Tom,34
Fred Armisen,Marcus,34
Abby Elliott,Lisa,34
Darrell Hammond,Bill Clinton,34
Amy Poehler,Hillary Clinton,34
Fred Armisen,Bruce Johnson,34
John Malkovich,Gary Thomas,34
Will Forte,coworker,34
Andy Samberg,coworker,34
Kenan Thompson,coworker,34
Kristen Wiig,Shana,34
Casey Wilson,Brenda,34
Fred Armisen,Barack Obama,34
Bill Hader,Vinny Vedecci,34
Bobby Moynihan,Vinny Vedecci Jr.,34
Kristen Wiig,Virgania Horsen,34
John Malkovich,Aiden,34
Fred Armisen,Paul,34
Andy Samberg,Glenn,34
Kenan Thompson,Plaxico Burress,34
Fred Armisen,Boy George,34
Andy Samberg,David Rasmussen,34
John Malkovich,Gertie,34
Abby Elliott,Flo,34
Michaela Watkins,Bemona,34
Kristen Wiig,Prudence,34
Casey Wilson,Mudge Gorstein,34
Jamie-Lynn Sigler,cashier,34
Justin Timberlake,janitor,34
Akiva Schaffer,deejay,34
Andy Samberg,actor,34
Michaela Watkins,actress,34
Kristen Wiig,actress,34
Fred Armisen,Barney Frank,34
Bill Corsair,audience member,34
Will Forte,Rick Wagoner,34
Bill Hader,Walter Jones,34
Darrell Hammond,Robert Nardelli,34
Bobby Moynihan,Peter King,34
Jason Sudeikis,Alan Mulally,34
Kenan Thompson,Gregory Meeks,34
Michaela Watkins,assistant,34
Kristen Wiig,panelist,34
Casey Wilson,Carolyn Maloney,34
Fred Armisen,Tyler,34
Michaela Watkins,Shannon,34
Kristen Wiig,Beth,34
Tim McGraw,Kurt Bird,34
Bill Hader,Keith Morrison,34
Jason Sudeikis,Jeff Bishop,34
Kristen Wiig,Sara Halliman,34
Casey Wilson,Lily Bishop,34
Tim McGraw,turkey,34
Fred Armisen,turkey,34
Andy Samberg,turkey,34
Jason Sudeikis,turkey,34
Kenan Thompson,Richard,34
Michaela Watkins,Terri,34
Kristen Wiig,turkey,34
Tim McGraw,Dwayne Bodine,34
Fred Armisen,Le Chiffre,34
Will Forte,casino employee,34
Bill Hader,James Bond,34
Andy Samberg,waiter,34
Kristen Wiig,Pussy Galore,34
Darrell Hammond,Bill Clinton,34
Michaela Watkins,Arianna Huffington,34
Will Forte,Zell Miller,34
Tim McGraw,Ted Jerkaloff,34
Andy Samberg,Blizzard Man,34
Kenan Thompson,technician,34
Tim McGraw,Bob,34
Will Forte,Jeff Montgomery,34
Kristen Wiig,Kathy,34
Tim McGraw,Dale Britches,34
Darrell Hammond,Jim Grady,34
Kristen Wiig,Janet,34
Casey Wilson,shop owner,34
Abby Elliott,waitress,34
Bobby Moynihan,Mark Payne,34
Kenan Thompson,Dan,34
Jason Sudeikis,Joe Biden,34
Kristen Wiig,Janet Napolitano,34
Paul Rudd,Austin Vogelcheck,34
Fred Armisen,Mr. Vogelcheck,34
Bill Hader,Dwayne Vogelcheck,34
Andy Samberg,Kevin,34
Kristen Wiig,Mrs. Vogelcheck,34
Paul Rudd,kid,34
Bill Hader,kid,34
Andy Samberg,kid,34
Jason Sudeikis,Officer Sikorsky,34
Kenan Thompson,Lorenzo McIntosh,34
Fred Armisen,curator,34
Abby Elliott,assistant,34
Jason Sudeikis,bidder,34
Jorma Taccone,boom mic operator,34
Michaela Watkins,bidder,34
Casey Wilson,interviewer,34
Paul Rudd,Tawn Peoples,34
Will Forte,emcee,34
Kenan Thompson,Leonard Pickens Atkins,34
Kristen Wiig,Tanya Peoples,34
Bobby Moynihan,Snagglepuss,34
Will Forte,The Great Gazoo,34
Paul Rudd,director,34
Abby Elliott,marker,34
Darrell Hammond,Gary,34
Michaela Watkins,makeup artist,34
Paul Rudd,Cornelius,34
Will Forte,Louis,34
Bill Hader,Jamie,34
Paul Rudd,Eddie,34
Bill Hader,Frankie,34
Tina Fey,Sarah Palin,34
Jason Sudeikis,Joe Biden,34
Fred Armisen,police officer,34
Bobby Moynihan,police officer,34
Kenan Thompson,judge,34
Ben Affleck,Alec Baldwin,34
Fred Armisen,Joy Behar,34
Kenan Thompson,Whoopi Goldberg,34
Kristen Wiig,Elisabeth Hasselbeck,34
Casey Wilson,Jennifer Aniston,34
Ben Affleck,Keith Olbermann,34
Fred Armisen,Richard Wolffe,34
Kenan Thompson,Michael Hilliard,34
Ben Affleck,William,34
Bobby Moynihan,Gary,34
Kristen Wiig,Target lady,34
Jason Sudeikis,Mark Potsic,34
Will Forte,Patrick Kelly,34
Fred Armisen,Gunther Kelly,34
Kristen Wiig,Aunt Linda,34
Ben Affleck,Wolf,34
Fred Armisen,Rodney,34
Will Forte,Stephens,34
Andy Samberg,Larry Trasadewski,34
Kristen Wiig,Pam,34
Casey Wilson,Latricia,34
Kenan Thompson,Grady Wilson,34
Ben Affleck,David,34
Bill Hader,Stefon,34
Ben Affleck,Oliver Bierhoff,34
Fred Armisen,Klaus Bierhoff,34
Darrell Hammond,John Murtha,34
Bobby Moynihan,supporter,34
Andy Samberg,supporter,34
Jason Sudeikis,Joe Biden,34
Kenan Thompson,supporter,34
Casey Wilson,supporter,34
Jon Hamm,Bob Peterson,34
Will Forte,Jeff Montgomery,34
Andy Samberg,Ras Trent,34
Jon Hamm,Don Draper,34
Elisabeth Moss,Peggy Olson,34
John Slattery,Roger Sterling,34
Will Forte,Pete Campbell,34
Bill Hader,Salvatore Romano,34
Bobby Moynihan,Harry Crane,34
Jason Sudeikis,A-Hole,34
Kristen Wiig,A-Hole,34
Casey Wilson,Joan Holloway,34
Jon Hamm,the ghost of John F. Kennedy,34
Maya Rudolph,Michelle Obama,34
Fred Armisen,Barack Obama,34
Bill Hader,Bill Ayers,34
Darrell Hammond,Bill Clinton,34
Bobby Moynihan,Barney Frank,34
Andy Samberg,Rahm Emanuel,34
Jason Sudeikis,Joe Biden,34
Kenan Thompson,Jeremiah Wright,34
Kristen Wiig,Nancy Pelosi,34
Jon Hamm,Don Draper,34
Fred Armisen,Nathaniel Snerpas,34
Amy Poehler,coworker,34
Kristen Wiig,Jessica,34
Casey Wilson,coworker,34
Will Forte,Robo-Call,34
Casey Wilson,operator,34
Bill Hader,Ralph Nader,34
Fred Armisen,Nicholas Fehn,34
Jon Hamm,James Mason,34
Fred Armisen,Liberace,34
Bill Hader,Vincent Price,34
Kristen Wiig,Gloria Swanson,34
Jon Hamm,Pat Finger,34
Tina Fey,Sarah Palin,34
Fred Armisen,reporter,34
Will Forte,reporter,34
Jason Sudeikis,Tim Lydecker,34
Josh Brolin,Kyle,34
Will Forte,MacGruber,34
Kristen Wiig,Vicki,34
Josh Brolin,Chris,34
Fred Armisen,waiter,34
Bill Hader,Rick,34
Kristen Wiig,Sue,34
Casey Wilson,Cat,34
Josh Brolin,Kyle,34
Will Forte,MacGruber,34
Kristen Wiig,Vicki,34
Josh Brolin,Dick Dunkendirk,34
Amy Poehler,"Michelle, caller",34
Kristen Wiig,Suze Orman,34
Will Forte,Greg Allman,34
Casey Wilson,waitress,34
Josh Brolin,Kyle,34
Will Forte,MacGruber,34
Kristen Wiig,Vicki,34
Will Forte,Tim Calhoun,34
Kenan Thompson,Jean K. Jean,34
Fred Armisen,eskimo,34
Andy Samberg,eskimo,34
Jason Sudeikis,Todd Palin,34
Bobby Moynihan,moose,34
Josh Brolin,Jim Deaver,34
Will Forte,Carl,34
Bill Hader,Jerry,34
Josh Brolin,agent,34
Will Forte,agent,34
Darrell Hammond,agent,34
Kristen Wiig,agent,34
Casey Wilson,Ms. Matthews,34
Fred Armisen,Joshua Rainhorn,34
Bill Hader,Trevor Dix,34
Andy Samberg,Tom,34
Queen Latifah,Gwen Ifill,34
Tina Fey,Sarah Palin,34
Jason Sudeikis,Joe Biden,34
Anne Hathaway,Janice,34
Fred Armisen,Lawrence Welk,34
Amy Poehler,Holly,34
Kristen Wiig,Dooneese,34
Casey Wilson,Nora,34
Anne Hathaway,Judy Phillips,34
Fred Armisen,Barney Frank,34
Will Forte,George Soros,34
Bill Hader,Greg Phillips,34
Darrell Hammond,Herbert Sandler,34
Bobby Moynihan,Michael McCune,34
Amy Poehler,Crystal,34
Jason Sudeikis,George W. Bush,34
Kenan Thompson,Jerome Gant,34
Kristen Wiig,Nancy Pelosi,34
Casey Wilson,Marion Sandler,34
Fred Armisen,Fermigelli,34
Andy Samberg,waiter,34
Kenan Thompson,Gary,34
Anne Hathaway,Jane,34
Will Forte,referee,34
Anne Hathaway,Mary Poppins,34
Will Forte,Constable Jones,34
Bill Hader,Bert,34
Bobby Moynihan,Michael,34
Casey Wilson,Jane,34
Anne Hathaway,Tanya Mitchell,34
Fred Armisen,sports fan,34
Will Forte,Tom Geneveve,34
Bobby Moynihan,Christopher Smalls,34
Amy Poehler,Andrea St. James,34
Jason Sudeikis,Michael Modesto,34
Kenan Thompson,Trevor Johnson,34
Kristen Wiig,zoologist,34
Casey Wilson,Melanie Moore,34
Andy Samberg,Mark Wahlberg,34
Anne Hathaway,Amber,34
Bill Hader,Jerome,34
Jason Sudeikis,Marcus,34
Kristen Wiig,golfer,34
Casey Wilson,Katy Perry,34
Tina Fey,Sarah Palin,34
Amy Poehler,Katie Couric,34
Bobby Moynihan,Mark,34
Casey Wilson,Cheryl,34
Chris Parnell,Jim Lehrer,34
Fred Armisen,Barack Obama,34
Darrell Hammond,John McCain,34
Amy Poehler,Hillary Clinton,34
Anna Faris,Mary,34
Kenan Thompson,Darren,34
Darrell Hammond,Bill Clinton,34
Kristen Wiig,Judy Grimes,34
Anna Faris,Chantelle,34
Bill Hader,manager,34
Kenan Thompson,Lonny,34
Kristen Wiig,Alanka,34
Casey Wilson,stripper,34
Anna Faris,Natasha Slovanya,34
Fred Armisen,Bear Supply member,34
Will Forte,Bear Supply member,34
Bobby Moynihan,Bear Supply member,34
Andy Samberg,T'Shane,34
Kenan Thompson,D.J. Dynasty Handbag,34
Kristen Wiig,Kaylee Moore,34
Anna Faris,Ruby,34
Amy Poehler,bride,34
Kenan Thompson,Googie Rene,34
Kristen Wiig,bride,34
Casey Wilson,bride,34
Anna Faris,Sarah,34
Will Forte,waiter,34
Bill Hader,Josh,34
Jason Sudeikis,Rob,34
Bill Hader,Ken Lewis,34
Darrell Hammond,John McCain,34
Jason Sudeikis,Craig,34
Alan Wong,Ken Wo,34
James Franco,Madison,34
Cameron Diaz,Kiki Deamore,34
Amy Poehler,Deidre Nicks,34
Kenan Thompson,Kenneth,34
Kristen Wiig,Jacqueline Seka,34
Casey Wilson,Toni Ward,34
James Franco,Agent 420,34
Fred Armisen,Dr. Huang,34
Will Forte,guard,34
Bill Hader,agent,34
Andy Samberg,guard,34
Jason Sudeikis,agent,34
James Franco,juror #2,34
Fred Armisen,juror #3,34
Will Forte,juror #1,34
Bill Hader,Gabriel Grasso,34
Bobby Moynihan,Professor Davenport,34
Andy Samberg,juror #5,34
Jason Sudeikis,juror,34
Kenan Thompson,O.J. Simpson,34
Kristen Wiig,juror #4,34
Casey Wilson,Jackie Glass,34
James Franco,Sean,34
Blake Lively,transvestite,34
Kristen Wiig,Sarah,34
James Franco,suspect,34
Fred Armisen,Penny Marshall,34
Will Forte,suspect,34
Andy Samberg,Juliette Lewis,34
Jason Sudeikis,suspect,34
Kristen Wiig,Kyra Sedgwick,34
Jason Sudeikis,Richard Fuld,34
Fred Armisen,Dov Charney,34
James Franco,Peter Connolly,34
Kumail Nanjiani,reporter,34
Fred Armisen,Karl Marx,34
Will Forte,Eric Nyman,34
Bill Hader,Howland Gwathmey Moss V,34
Darrell Hammond,Queens Gillespie,34
Bobby Moynihan,Steven,34
Andy Samberg,Ari Schenckman,34
Jason Sudeikis,Ted Boucher,34
Kenan Thompson,James,34
Kristen Wiig,Tandalaya,34
Casey Wilson,Victorine Kopelman-D'Angelo,34
James Franco,George,34
Will Forte,hunter,34
Bill Hader,Curley,34
Bobby Moynihan,Lennie,34
Jason Sudeikis,hunter,34
Fred Armisen,Martin Scorsese,34
Amy Poehler,Rosie Perez,34
Bill Hader,Willem Dafoe,34
Tina Fey,Sarah Palin,34
Amy Poehler,Hillary Clinton,34
Will Forte,audience member,34
Amy Poehler,Debbie Phelps,34
Michael Phelps,Zebadiah Jasper,34
Will Forte,Zachariah Jasper,34
Bobby Moynihan,Jim,34
Amy Poehler,Zaryah Jasper,34
Jason Sudeikis,host,34
Kenan Thompson,Craig,34
Kristen Wiig,Mrs. Jasper,34
Casey Wilson,Rachel,34
Fred Armisen,police officer,34
Bobby Moynihan,police officer,34
Kenan Thompson,judge,34
Michael Phelps,Michael Phillips,34
Fred Armisen,swimmer,34
Will Forte,dancing coach,34
Bill Hader,swimmer,34
Bobby Moynihan,swimmer,34
Andy Samberg,swimmer,34
Jason Sudeikis,swimmer,34
Kenan Thompson,swimmer,34
Michael Phelps,Craig,34
Bill Hader,Mr. Triggs,34
Amy Poehler,Mrs. Triggs,34
Kristen Wiig,Stacia,34
Casey Wilson,Jamie,34
Will Forte,Alaska Pete,34
Fred Armisen,Nicholas Fehn,34
Andy Samberg,Cathy,34
Darrell Hammond,Bela Karolyi,34
Kenan Thompson,Charles Barkley,34
Michael Phelps,Aaron,34
Jason Sudeikis,Michael,34
Kristen Wiig,Amanda,34
Michael Phelps,athlete,34
Bill Hader,athlete,34
Andy Samberg,singer,34
Jason Sudeikis,athlete,34
Casey Wilson,athlete,34
Bobby Moynihan,Mark Payne,34
Kenan Thompson,Dan,34
Will Forte,client,34
Amy Poehler,client,34
Casey Wilson,client,34
Colin Jost,Harry Charles Wombus,33
Rob Klein,Harry Michael Schwantz,33
Simon Rich,Harry Denison Crank,33
Marika Sawyer,Camana Elizabeth Wanalaya,33
Alan Wong,Harry Kimball Dong,33
Fred Armisen,Barack Obama,33
Amy Poehler,Hillary Clinton,33
Steve Carell,Stu Barnsford,33
Fred Armisen,Howie Mandel,33
Will Forte,Stu's father,33
Amy Poehler,Aurora,33
Kristen Wiig,Rebecca,33
Casey Wilson,Georganna,33
Steve Carell,Peter Pops,33
Jason Sudeikis,A-Hole,33
Kenan Thompson,Timone,33
Kristen Wiig,A-Hole,33
Darrell Hammond,Regis Philbin,33
Kenan Thompson,Al Sharpton,33
Darrell Hammond,Jesse Jackson,33
Steve Carell,Charlie Flitt,33
Fred Armisen,Eli,33
Bill Hader,Larry,33
Darrell Hammond,audience member,33
Amy Poehler,Beth Cassiola,33
Jason Sudeikis,audience member,33
Kenan Thompson,audience member,33
Kristen Wiig,Rhonda,33
Steve Carell,Thomas,33
Andy Samberg,Greg,33
Amy Poehler,Hillary Clinton,33
Will Forte,Major Toht,33
Darrell Hammond,Sean Connery,33
Amy Poehler,Short Round,33
Jason Sudeikis,audience member,33
Shia LaBeouf,Merrill,33
Will Forte,MacGruber,33
Kristen Wiig,Vicki,33
Shia LaBeouf,Dirk Densten,33
Fred Armisen,Steven Nielsen Perry,33
Bill Hader,Rob Perkins,33
John Lutz,orderly,33
Amy Poehler,Pam Sumpter,33
Kenan Thompson,Chipsey Boday,33
Bryan Tucker,orderly,33
Kristen Wiig,Nancy Nan George,33
Casey Wilson,Sarah Annette Boob,33
Shia LaBeouf,kid,33
Bill Hader,kid,33
Andy Samberg,kid,33
Jason Sudeikis,"Mathews, officer",33
Kenan Thompson,Lorenzo McIntosh,33
Shia LaBeouf,Merrill,33
Will Forte,MacGruber,33
Kristen Wiig,Vicki,33
Shia LaBeouf,Josiah,33
Kristen Wiig,Suze Orman,33
Fred Armisen,dad,33
Bill Hader,genie,33
Jason Sudeikis,cop,33
Kenan Thompson,cop,33
Bill Hader,Vlad,33
Fred Armisen,Niko,33
Kenan Thompson,Jean K. Jean,33
Doug Abeles,painter,33
Alex Baze,painter,33
Bill Hader,Vinny Vedecci,33
Andy Samberg,Franco,33
John Solomon,painter,33
Jason Sudeikis,transsexual,33
Kristen Wiig,transsexual,33
Shia LaBeouf,Merrill,33
Will Forte,MacGruber,33
Andy Samberg,Scott,33
Kristen Wiig,Vicki,33
Amy Poehler,Stacy,33
Kristen Wiig,Emily,33
Casey Wilson,waitress,33
Shia LaBeouf,Melana,33
Kristen Wiig,Monica,33
Casey Wilson,clerk,33
Fred Armisen,Barack Obama,33
Will Forte,David Petraeus,33
Bill Hader,Robert Byrd,33
Darrell Hammond,John McCain,33
Amy Poehler,Hillary Clinton,33
Andy Samberg,Carl Levin,33
Jason Sudeikis,Miller,33
Kristen Wiig,Code Pink protestor,33
Casey Wilson,Code Pink protestor,33
Ashton Kutcher,Jaden,33
Cameron Diaz,Kiki Deamore,33
Amy Poehler,Deidre Nicks,33
Kenan Thompson,Kenneth,33
Kristen Wiig,Jacqueline Seka,33
Casey Wilson,Toni Ward,33
Fred Armisen,Oliver,33
Will Forte,Lyle Kane,33
Amy Poehler,Denise,33
Kenan Thompson,Dode,33
Andy Samberg,Clementine,33
Ashton Kutcher,Michael Garrett,33
Bill Hader,marker,33
Amy Poehler,Crystal Sprigg,33
Kristen Wiig,Jamie Lee Curtis,33
Kristen Wiig,Judy Grimes,33
Fred Armisen,Nicholas Fehn,33
Ashton Kutcher,Amy,33
Ashton Kutcher,chocolate bar,33
Ashton Kutcher,John Mayer,33
Bill Hader,Dave Matthews,33
Andy Samberg,Jack Johnson,33
Kenan Thompson,Boyd Tinsley,33
Ashton Kutcher,chocolate bar,33
Ashton Kutcher,Donnie LaMorris,33
Kenan Thompson,Bruce,33
Kristen Wiig,waitress,33
Casey Wilson,Dusty Velvet,33
Ashton Kutcher,chocolate bar,33
Darrell Hammond,Bill Clinton,33
Amy Poehler,Hillary Clinton,33
Jim Downey,audience member,33
John Lutz,audience member,33
Paula Pell,audience member,33
Bryan Tucker,audience member,33
Bill Hader,coworker,33
Andy Samberg,coworker,33
Bill Hader,Evan,33
Amy Poehler,Ms. Hash,33
Andy Samberg,Lucas,33
Jason Sudeikis,Tommy,33
Kenan Thompson,Keith,33
Christopher Walken,Eric,33
Bill Hader,Mark,33
Jason Sudeikis,Nathan,33
Kristen Wiig,Kathy,33
Casey Wilson,Maggie,33
Christopher Walken,Captain Ted,33
Bill Hader,Nitro,33
Andy Samberg,Admiral Spaceship,33
Kenan Thompson,Mayor Top Hat,33
Christopher Walken,grandfather,33
Kristen Wiig,Sue,33
Casey Wilson,Annie,33
Andy Samberg,Thomas Beatie,33
Fred Armisen,Nathan,33
Will Forte,waiter,33
Bill Hader,Stanley,33
Darrell Hammond,Richard,33
