Non-Counted Role Played,Count #
Jonah Hill,Joe Bush,41
Vanessa Bayer,Mary Pat,41
Beck Bennett,Tag Larsen,41
Aidy Bryant,Barb Von Stoppin,41
Taran Killam,Ron Jaruseck,41
Cecily Strong,Trish Wisnouski,41
Jonah Hill,Nate,41
Taran Killam,Tyler Stevens,41
Kate McKinnon,Stacey Epstein,41
Jay Pharoah,Ricky Manns,41
Cecily Strong,Samantha Powell,41
Kenan Thompson,Felipe Ramirez,41
Jonah Hill,Michael Akari,41
Beck Bennett,parent,41
Pete Davidson,Nate,41
Leslie Jones,parent,41
Taran Killam,Sala Farooq,41
Bobby Moynihan,Steve,41
Jay Pharoah,Sean,41
Jon Rudnitsky,Doug Purcell,41
Cecily Strong,The Girl You Wish You Hadn't Started A Conversation With At A Party,41
Kate McKinnon,Flossie Dickey,41
Jonah Hill,Mr. Weston,41
Taran Killam,Inspector Percival,41
Kenan Thompson,Mr. Dooflappy,41
Jonah Hill,Keith,41
Beck Bennett,Casey,41
Pete Davidson,Jason Parker,41
Taran Killam,Pat,41
Kyle Mooney,Todd,41
Cecily Strong,Jessica Cabarra,41
Kenan Thompson,surgeon,41
Jonah Hill,Toby,41
Beck Bennett,Dave,41
Beck Bennett,Jeb Bush,41
Darrell Hammond,Bill Clinton,41
Kate McKinnon,Hillary Clinton,41
Vanessa Bayer,Amy,41
Aidy Bryant,Karen,41
Taran Killam,news reporter,41
Melissa McCarthy,Dottie,41
Aidy Bryant,Diane,41
Cecily Strong,moderator,41
Melissa McCarthy,Patti,41
Pete Davidson,Tommy,41
Bobby Moynihan,Jim,41
Vanessa Bayer,"Rachel from ""Friends""",41
Kenan Thompson,Manuel,41
Melissa McCarthy,Rhonda,41
Vanessa Bayer,Nell,41
Beck Bennett,Uncle Joe,41
Leslie Jones,Janice,41
Kate McKinnon,Jo,41
Sasheer Zamata,Veronica,41
Beck Bennett,driver,41
Melissa McCarthy,Tabby-tha,41
Kate McKinnon,Barbara DeDrew,41
Taran Killam,Ted Cruz,41
Kate McKinnon,Catherine Cruz,41
Larry David,Kevin Roberts,41
Vanessa Bayer,dummy,41
Beck Bennett,dummy,41
Aidy Bryant,dummy,41
Pete Davidson,agent,41
Leslie Jones,dummy,41
Taran Killam,dummy,41
Bobby Moynihan,dummy,41
Jon Rudnitsky,dummy,41
Kenan Thompson,O'Healy,41
Larry David,Bernie Sanders,41
Vanessa Bayer,Jane Sanders,41
Taran Killam,Marty,41
Kyle Mooney,staffer,41
Bobby Moynihan,Jeff,41
Jay Pharoah,Leon,41
Cecily Strong,Susie,41
Vanessa Bayer,Madame Donovan,41
Beck Bennett,Stephen,41
Kate McKinnon,Sturdy Barbie,41
Owen Wilson,Hansel,41
Ben Stiller,Derek Zoolander,41
Larry David,Russ,41
Vanessa Bayer,Trish,41
Pete Davidson,Jason,41
Taran Killam,Ted,41
Kate McKinnon,Willow,41
Jay Pharoah,Nate,41
Beck Bennett,police officer,41
Taran Killam,Peyton Manning,41
Bobby Moynihan,police officer,41
Kenan Thompson,Cam Newton,41
Larry David,Ace Chuggins,41
Kate McKinnon,Sheila Sovage,41
Kenan Thompson,Anthony,41
Tina Fey,Sarah Palin,41
Darrell Hammond,Donald Trump,41
Beck Bennett,Chad,41
Taran Killam,Mark,41
Kate McKinnon,Justin Bieber,41
Kyle Mooney,audience member,41
Cecily Strong,model,41
Kenan Thompson,coach,41
Ronda Rousey,Brad's date,41
Beck Bennett,Barry Peele,41
Michael Che,actor,41
Pete Davidson,Drew MacKenzie,41
Leslie Jones,actress,41
Taran Killam,Brad Dunn,41
Bobby Moynihan,Alan Smickel,41
Jay Pharoah,actor,41
Jon Rudnitsky,Jacob Schultz,41
Cecily Strong,presenter,41
Kenan Thompson,actor,41
Sasheer Zamata,actress,41
Ronda Rousey,Becka,41
Vanessa Bayer,Kendra,41
Beck Bennett,Chad Shannon,41
Ronda Rousey,contestant,41
Vanessa Bayer,contestant,41
Aidy Bryant,contestant,41
Taran Killam,Dan,41
Kate McKinnon,contestant,41
Cecily Strong,contestant,41
Sasheer Zamata,contestant,41
Bobby Moynihan,"your friend who always says ""it's not that bad""",41
Kenan Thompson,Willie,41
Ronda Rousey,Kara Torkelson,41
Beck Bennett,Bill Arnold,41
Aidy Bryant,Paula Abbott,41
Pete Davidson,Gavin Daly,41
Taran Killam,attorney,41
Kate McKinnon,Kathy Daly,41
Bobby Moynihan,Mr. Daly,41
Jon Rudnitsky,grandfather,41
Cecily Strong,Janet Johnson-Luna,41
Kenan Thompson,judge,41
Ronda Rousey,Metalia,41
Aidy Bryant,Queen Aquata,41
Pete Davidson,Noodle Man,41
Leslie Jones,Aviana,41
Taran Killam,Mr. Leathers,41
Jay Pharoah,Solor,41
Jon Rudnitsky,Fire Butt,41
Cecily Strong,Gageena,41
Kenan Thompson,The Beast,41
Sasheer Zamata,Couscous,41
Taran Killam,T.J.,41
Ronda Rousey,Mary Bonham,41
Aidy Bryant,Jan Krang,41
Kate McKinnon,Mrs. Dodd,41
Kyle Mooney,MC Strategy,41
Bobby Moynihan,councilor,41
Cecily Strong,councilor,41
Kenan Thompson,Gary Loomis,41
Ronda Rousey,Debra,41
Beck Bennett,Robbie,41
Kyle Mooney,Nicky,41
Kenan Thompson,coworker,41
Taran Killam,Henry,41
Beck Bennett,Jeb Bush,41
Pete Davidson,Marco Rubio,41
Darrell Hammond,Donald Trump,41
Taran Killam,Ted Cruz,41
Kate McKinnon,Lindsey Graham,41
Kyle Mooney,Neil Cavuto,41
Bobby Moynihan,Chris Christie,41
Jay Pharoah,Ben Carson,41
Cecily Strong,Maria Bartiromo,41
Adam Driver,Cris Collinsworth,41
Beck Bennett,Al Michaels,41
Pete Davidson,Jared Schleff,41
Bobby Moynihan,Bruce Arians,41
Jon Rudnitsky,referee,41
Cecily Strong,Michele Tafoya,41
Kenan Thompson,Lucas Kavner,41
Adam Driver,Kylo Ren,41
Leslie Jones,technician,41
Taran Killam,Zack,41
Bobby Moynihan,Tim,41
Adam Driver,Aladdin,41
Beck Bennett,technician,41
Leslie Jones,Kris,41
Cecily Strong,Jasmine,41
Adam Driver,Finn Reynolds,41
Kate McKinnon,Noelle LeSoup,41
Cecily Strong,Joelle LaRue,41
Vanessa Bayer,Laura Parsons,41
Adam Driver,Wendell,41
Cecily Strong,Harper,41
Adam Driver,Kevin,41
Kate McKinnon,Madison,41
Kyle Mooney,Cody,41
Kenan Thompson,bouncer,41
Adam Driver,Dr. Rockhard,41
Aidy Bryant,adult film girl,41
Beck Bennett,Jeb Bush,41
Pete Davidson,Marco Rubio,41
Darrell Hammond,Donald Trump,41
Colin Jost,John Kasich,41
Taran Killam,Ted Cruz,41
Kyle Mooney,Rand Paul,41
Bobby Moynihan,Chris Christie,41
Jay Pharoah,Ben Carson,41
Jon Rudnitsky,Wolf Blitzer,41
Cecily Strong,Carly Fiorina,41
Tina Fey,Sarah Palin,41
Amy Poehler,Hillary Clinton,41
Kate McKinnon,Hillary Clinton,41
Amy Poehler,Helen Walsh,41
Vanessa Bayer,Samantha,41
Aidy Bryant,Elaine,41
Leslie Jones,Deanna,41
Taran Killam,Steve,41
Bobby Moynihan,Brian,41
Cecily Strong,Alicia,41
Kenan Thompson,Toby,41
Beck Bennett,grandpa,41
Tina Fey,Janelle,41
Amy Poehler,Casey,41
Kenan Thompson,Gerard,41
Sasheer Zamata,marker,41
Kate McKinnon,Deenie,41
Tina Fey,Angie Francis,41
Amy Poehler,Gloria Wallace,41
Maya Rudolph,Lola Fabray,41
Vanessa Bayer,Victoria Douglas,41
Steve Higgins,annoucer,41
Taran Killam,Chad Douglas,41
Kenan Thompson,Bill Cosby,41
Aidy Bryant,Trisha Hogan,41
Tina Fey,Karen,41
Amy Poehler,Betty Caruso,41
Maya Rudolph,Jodi Deitz,41
Will Ferrell,George W. Bush,41
Taran Killam,Ted Cruz,41
Kate McKinnon,Greta Van Susteren,41
Bobby Moynihan,Chris Christie,41
Jay Pharoah,Ben Carson,41
Chris Hemsworth,Peter Polaski,41
Kyle Mooney,Ruman,41
Chris Hemsworth,Matty,41
Beck Bennett,coach,41
Taran Killam,Marky,41
Kyle Mooney,Tommy,41
Taran Killam,Dan,41
Sasheer Zamata,Jen,41
Kate McKinnon,Angela Merkel,41
Aidy Bryant,Megan,41
Chris Hemsworth,Captain Felder,41
Taran Killam,Scraggy Pete,41
Jon Rudnitsky,Mark,41
Cecily Strong,captive,41
Kenan Thompson,Cutthroat Jake,41
Chris Hemsworth,Brandon,41
Beck Bennett,Craig,41
Taran Killam,Phil,41
Jay Pharoah,Keith,41
Kenan Thompson,emcee,41
Beck Bennett,plumber,41
Pete Davidson,Dan,41
Kyle Mooney,piano tuner,41
Bobby Moynihan,George,41
Jay Pharoah,Terry,41
Kenan Thompson,carpenter,41
Taran Killam,Donald Trump,41
Cecily Strong,Melania Trump,41
Cecily Strong,audience member,41
Taran Killam,Henry,41
Ryan Gosling,Todd,41
Aidy Bryant,Agent Morris,41
Kate McKinnon,Colleen Rafferty,41
Bobby Moynihan,Special Agent Kirkpatrick,41
Cecily Strong,Sharon,41
Ryan Gosling,Doug,41
Vanessa Bayer,Gina,41
Beck Bennett,David,41
Ryan Gosling,Mr. Dillham,41
Vanessa Bayer,Taylor,41
Aidy Bryant,Melanie,41
Cecily Strong,Jill Davenport,41
Bobby Moynihan,Anthony Crispino,41
Ryan Gosling,Angelo Skaggs,41
Kyle Mooney,Trevor,41
Bobby Moynihan,Jerry,41
Cecily Strong,Laura Sumner,41
Taran Killam,George Clooney,41
Kate McKinnon,beaver,41
Bobby Moynihan,Danny DeVito,41
Ryan Gosling,Scarecrow,41
Michael Che,Elijah Kelley,41
Leslie Jones,Queen Latifah,41
Jay Pharoah,Ne-Yo,41
Kenan Thompson,David Alan Grier,41
Sasheer Zamata,Shanice Williams,41
Ryan Gosling,elf,41
Vanessa Bayer,elf,41
Aidy Bryant,Mrs. Claus,41
Bobby Moynihan,Santa Claus,41
Kenan Thompson,elf,41
Vanessa Bayer,Elisabeth Hasselbeck,41
Leslie Jones,Carla,41
Taran Killam,Steve Doocy,41
Kate McKinnon,Debbie Wasserman Schultz,41
Bobby Moynihan,Brian Kilmeade,41
Jay Pharoah,Ben Carson,41
Matthew McConaughey,Mr. Paul,41
Aidy Bryant,Aunt Kathy,41
Kate McKinnon,grandmother,41
Jay Pharoah,Jamal,41
Matthew McConaughey,Howlin' Bobby Wallace,41
Leslie Jones,Annalee Wolf,41
Kyle Mooney,Toothpick Joe,41
Jay Pharoah,Joe Frownin' Mouth Dixon,41
Kenan Thompson,Wailin' Otis Elmore,41
Matthew McConaughey,Bruce,41
Aidy Bryant,audience member,41
Jon Rudnitsky,audience member,41
Cecily Strong,presenter,41
Kenan Thompson,audience member,41
Sasheer Zamata,audience member,41
Beck Bennett,Javier Bardem,41
Aidy Bryant,Wynonna Judd,41
Taran Killam,David Beckham,41
Kate McKinnon,Maggie Smith,41
Bobby Moynihan,Danny DeVito,41
Bobby Moynihan,George Lucas,41
Jay Pharoah,Chris Tucker,41
Jay Pharoah,Shaquille O'Neal,41
Jon Rudnitsky,John Mayer,41
Cecily Strong,Sofia Vergara,41
Vanessa Bayer,Laura Parsons,41
Kenan Thompson,David Ortiz,41
Matthew McConaughey,Nedford Botch,41
Aidy Bryant,Connie,41
Kate McKinnon,Hillary Clinton,41
Kyle Mooney,Tristan,41
Kenan Thompson,Allen DeGeneres,41
Matthew McConaughey,Buster Littles,41
Aidy Bryant,Sheila Lee,41
Taran Killam,Cory Chisholm,41
Kate McKinnon,Ed Sheeran,41
Cecily Strong,Gracelynn Chisholm,41
Matthew McConaughey,Earl,41
Beck Bennett,panelist,41
Aidy Bryant,panelist,41
Pete Davidson,Roscoe,41
Taran Killam,David Stengel,41
Bobby Moynihan,panelist,41
Cecily Strong,panelist,41
Kenan Thompson,resident,41
Kyle Mooney,Trinkethead,41
Beck Bennett,plumber,41
Pete Davidson,Dan,41
Kyle Mooney,piano tuner,41
Bobby Moynihan,George,41
Jay Pharoah,Terry,41
Kenan Thompson,carpenter,41
Elizabeth Banks,Allison,41
Steve Higgins,"Johnny, announcer",41
Leslie Jones,clew crew,41
Jay Pharoah,Amir,41
Kenan Thompson,Darnell Hayes,41
Sasheer Zamata,Keeley,41
Vanessa Bayer,theatre parent,41
Beck Bennett,theatre student,41
Aidy Bryant,theatre student,41
Leslie Jones,parent,41
Taran Killam,theatre student,41
Kate McKinnon,theatre student,41
Kyle Mooney,theatre student,41
Kenan Thompson,theatre parent,41
Kyle Mooney,Bruce Chandling,41
Kate McKinnon,Olya Povlatsky,41
Beck Bennett,Richie,41
Leslie Jones,Sonya Carson,41
Jay Pharoah,Ben Carson,41
Kenan Thompson,Black Jesus,41
Elizabeth Banks,Abby Langley,41
Beck Bennett,Doug,41
Aidy Bryant,Becky,41
Bobby Moynihan,Arnold Baxter,41
Jay Pharoah,Marcus Duke,41
Jon Rudnitsky,marker,41
Sasheer Zamata,assistant,41
Elizabeth Banks,Jen,41
Vanessa Bayer,Mrs. Tyler,41
Beck Bennett,banker,41
Bobby Moynihan,Dan,41
Mike O'Brien,Mr. Tyler,41
Jon Rudnitsky,cashier,41
Elizabeth Banks,Megan,41
Jay Pharoah,crackhead,41
Larry David,Bernie Sanders,41
Leslie Jones,audience member,41
Taran Killam,Martin O'Malley,41
Kate McKinnon,Hillary Clinton,41
Jay Pharoah,audience member,41
Cecily Strong,Rachel Maddow,41
Kenan Thompson,audience member,41
Darrell Hammond,Donald Trump,41
Taran Killam,Donald Trump,41
Beck Bennett,Enrique Peña Nieto,41
Taran Killam,aide,41
Kyle Mooney,Jimmy,41
Bobby Moynihan,aide,41
Jon Rudnitsky,aide,41
Cecily Strong,Melania Trump,41
Kenan Thompson,"Reynolds, general",41
Sasheer Zamata,Omarosa Manigault,41
Beck Bennett,Josh,41
Aidy Bryant,Gretchen,41
Taran Killam,host,41
Kate McKinnon,Stacey,41
Kenan Thompson,cashier,41
Donald Trump,tax guy,41
Martin Short,Ed Grimley,41
Jay Pharoah,Drake,41
Bobby Moynihan,Drunk Uncle,41
Donald Trump,Gene Breads,41
Beck Bennett,Tommy T. Valaras,41
Aidy Bryant,Tanya Grapes,41
Kate McKinnon,Blade,41
Jay Pharoah,Joe Dobbs,41
Cecily Strong,Sheena Ray,41
Kenan Thompson,leader,41
Donald Trump,Skacy Steve,41
Vanessa Bayer,Mrs. Crocker,41
Beck Bennett,Dave Crocker,41
Pete Davidson,Danny,41
Jay Pharoah,drummer,41
Kenan Thompson,Toots Hibbert,41
Vanessa Bayer,Brecky,41
Bobby Moynihan,Ronald McDonald McTrump,41
Cecily Strong,model,41
Alec Baldwin,Jim Webb,41
Larry David,Bernie Sanders,41
Taran Killam,Martin O'Malley,41
Kate McKinnon,Hillary Clinton,41
Kyle Mooney,Lincoln Chafee,41
Jon Rudnitsky,Anderson Cooper,41
Taran Killam,Dr. Coleman,41
Kate McKinnon,Ivy,41
Cecily Strong,Karen,41
Tracy Morgan,Darryl,41
Vanessa Bayer,Rachel,41
Michael Che,Raymond,41
Leslie Jones,Jackie,41
Jay Pharoah,Martin,41
Jon Rudnitsky,Blake,41
Cecily Strong,Maria,41
Kenan Thompson,Steve Harvey,41
Sasheer Zamata,Leila,41
Tracy Morgan,Brian Fellow,41
Aidy Bryant,Janie Shamburg,41
